matric_number,entry_mode_code,socio_band_code,prior_cgpa,ca_mean,ca_variance,momentum,attendance_rate,clicks_total,duration_total_min,resource_breadth,submission_timeliness,engagement_index,forum_posts_count,login_frequency,is_at_risk
MAT-2024-0065,2,0,3.41,59.0,13.95,0.81,66.11,244,778.26,6,-0.51,125.84,1,27,0
MAT-2024-0066,0,1,2.28,43.81,10.18,-1.36,68.36,228,444.74,10,6.33,119.54,8,25,1
MAT-2024-0067,0,1,2.39,48.76,7.11,0.22,62.97,242,626.71,4,2.94,124.19,8,11,1
MAT-2024-0068,2,1,3.94,80.67,15.3,1.19,67.48,259,552.58,3,20.47,132.99,5,18,0
MAT-2024-0069,1,1,2.2,45.57,5.13,-0.07,61.89,274,583.11,8,31.13,135.76,4,16,1
MAT-2024-0070,0,1,2.78,60.0,17.58,1.23,59.63,242,396.71,7,11.27,122.25,2,18,1
MAT-2024-0071,0,1,2.1,39.18,10.34,-0.3,81.57,246,844.39,6,-10.45,132.83,6,25,1
MAT-2024-0072,2,0,3.33,70.62,8.55,-1.62,67.07,274,776.96,14,13.42,136.63,7,16,0
MAT-2024-0073,1,1,4.0,79.03,12.9,-0.93,66.69,273,431.21,6,-5.28,137.68,4,16,0
MAT-2024-0074,0,1,1.35,26.75,21.83,-0.16,83.68,250,621.77,11,6.45,134.27,3,18,1
MAT-2024-0075,2,1,3.39,62.89,15.95,0.81,74.81,265,446.41,12,13.82,136.52,9,20,0
MAT-2024-0076,0,0,3.12,64.5,27.17,-0.77,85.96,245,565.41,13,-22.65,132.78,9,21,1
MAT-2024-0077,1,1,2.03,31.08,2.51,0.05,69.85,241,653.49,2,-5.02,126.94,4,34,1
MAT-2024-0078,2,1,1.56,25.1,9.12,-0.47,19.35,255,398.28,6,3.75,111.54,7,17,1
MAT-2024-0079,0,1,1.41,26.17,13.32,0.24,91.23,256,701.78,5,-16.65,140.89,7,21,1
MAT-2024-0080,1,1,3.12,62.54,27.7,-1.81,83.84,273,651.63,4,16.19,144.94,4,22,0
MAT-2024-0081,0,1,3.42,78.93,7.57,-0.12,52.66,226,665.86,14,3.49,111.66,3,30,0
MAT-2024-0082,2,1,2.48,47.37,7.25,0.87,37.17,249,692.46,5,-4.65,116.47,2,24,1
MAT-2024-0083,1,2,3.71,79.13,42.73,-0.77,65.98,260,472.48,2,4.03,132.99,2,23,0
MAT-2024-0084,0,1,2.57,51.89,7.58,-0.66,44.05,264,625.06,1,-11.72,126.02,4,25,1
MAT-2024-0085,0,0,2.68,52.08,3.04,0.16,58.83,270,464.93,14,-23.28,131.73,1,26,1
MAT-2024-0086,0,1,2.22,51.0,5.22,-0.34,68.81,252,724.77,13,12.41,128.72,2,14,1
MAT-2024-0087,0,1,4.0,83.87,6.46,0.02,60.58,263,577.6,14,42.51,129.63,8,15,0
MAT-2024-0088,1,2,4.0,78.96,10.9,1.29,85.45,255,814.57,11,15.11,136.98,6,18,0
MAT-2024-0089,0,1,3.03,58.55,8.31,2.19,59.35,265,525.75,6,-6.4,131.54,6,19,0
MAT-2024-0090,0,0,3.17,64.58,8.69,1.49,48.13,268,604.06,12,10.01,127.05,5,13,1
MAT-2024-0091,0,1,2.24,34.39,10.4,0.15,52.67,238,527.68,4,-19.3,118.47,5,21,1
MAT-2024-0092,0,2,3.32,60.5,11.78,-0.43,86.71,248,782.07,13,-22.35,134.28,6,18,0
MAT-2024-0093,0,1,2.68,57.21,15.28,-0.85,76.15,252,569.87,7,-11.14,132.86,6,17,0
MAT-2024-0094,0,1,2.53,70.5,20.73,-0.18,54.03,277,819.36,14,-4.92,132.61,2,22,0
MAT-2024-0095,0,1,2.75,51.89,39.24,0.49,72.71,268,701.61,13,-7.76,136.68,7,24,1
MAT-2024-0096,0,0,2.02,41.22,9.64,-0.65,52.31,215,446.18,11,6.27,107.72,6,18,1
MAT-2024-0097,0,1,2.92,58.0,0.0,0.7,61.61,282,429.48,14,15.87,137.64,4,23,0
MAT-2024-0098,0,1,1.75,28.43,4.58,-0.27,61.3,238,693.36,6,-26.94,121.52,6,26,1
MAT-2024-0099,0,1,2.16,41.93,10.95,-0.86,61.92,247,374.97,8,19.83,124.97,6,27,1
MAT-2024-0100,0,0,3.92,74.1,21.93,-0.47,62.56,235,509.3,12,-18.07,119.62,8,19,0
MAT-2024-0101,2,0,2.42,50.33,4.49,0.03,17.07,263,739.12,1,-0.4,114.83,9,19,1
MAT-2024-0102,0,1,2.46,54.0,14.13,-0.9,58.69,243,565.95,6,24.79,122.48,6,20,1
MAT-2024-0103,0,1,2.11,36.37,8.58,-0.66,73.64,262,748.78,8,-20.84,135.66,6,14,1
MAT-2024-0104,0,1,3.17,54.22,16.87,-0.05,26.87,252,791.98,9,23.92,112.75,7,12,0
MAT-2024-0105,1,2,2.61,54.17,3.65,-0.66,35.18,242,532.65,8,-4.48,112.27,4,16,1
MAT-2024-0106,0,0,2.37,53.44,5.16,1.41,81.24,233,764.43,13,-11.72,126.1,8,18,0
MAT-2024-0107,0,1,2.32,54.04,13.68,1.55,10.33,251,608.98,14,17.45,104.73,7,13,1
MAT-2024-0108,0,1,3.04,57.2,8.69,-0.33,78.16,220,769.51,11,15.47,120.06,3,19,0
MAT-2024-0109,0,1,2.59,45.85,15.75,1.35,67.86,270,605.6,12,-25.73,135.74,8,19,1
MAT-2024-0110,1,1,4.0,85.33,10.98,-0.49,51.47,248,787.33,14,4.06,119.99,1,19,0
MAT-2024-0111,1,2,2.52,54.33,0.36,0.21,82.64,225,653.69,13,5.26,123.46,6,15,1
MAT-2024-0112,0,2,2.98,65.11,2.06,-0.52,52.31,224,367.82,12,7.4,111.12,2,29,0
MAT-2024-0113,0,1,2.51,39.87,9.11,0.85,57.02,241,445.49,7,-2.78,120.81,4,19,1
MAT-2024-0114,1,1,3.59,73.67,4.84,0.81,73.79,244,604.82,9,-79.79,128.32,7,15,0
MAT-2024-0115,0,1,1.77,29.42,25.38,-0.89,76.88,234,484.71,13,-20.09,124.75,7,23,1
MAT-2024-0116,0,2,4.0,86.0,15.45,-1.38,62.51,264,399.4,12,13.79,131.2,7,25,0
MAT-2024-0117,0,0,2.9,49.0,33.64,0.22,20.85,252,800.95,1,15.58,111.94,5,28,1
MAT-2024-0118,1,0,3.33,66.73,10.82,0.18,59.56,224,523.52,8,12.13,114.82,8,23,1
MAT-2024-0119,2,1,2.94,50.67,0.0,-0.23,39.37,281,630.85,4,-11.49,130.35,5,15,0
MAT-2024-0120,0,2,2.5,49.25,12.45,0.73,80.68,227,671.79,3,24.29,125.47,5,17,0
MAT-2024-0121,0,1,1.95,44.2,10.79,0.86,59.25,248,858.36,13,7.74,123.3,9,19,1
MAT-2024-0122,0,1,2.64,49.41,5.61,0.44,46.16,232,514.27,13,-10.83,111.66,7,28,1
MAT-2024-0123,0,0,3.19,57.8,11.32,0.61,67.64,246,769.82,13,-15.13,125.86,8,17,0
MAT-2024-0124,0,2,2.49,56.33,15.89,-0.28,69.55,214,483.48,13,-26.75,113.82,8,25,1
MAT-2024-0125,1,1,3.31,65.93,30.86,-0.69,90.63,245,497.8,11,-4.28,135.05,3,26,0
MAT-2024-0126,0,2,1.85,39.07,24.29,0.87,24.4,232,383.64,11,11.79,103.36,3,21,1
MAT-2024-0127,0,1,2.55,50.0,0.01,-1.73,95.48,239,537.62,14,8.18,133.99,3,16,0
MAT-2024-0128,0,0,2.9,60.91,17.45,-0.65,49.45,243,425.52,2,20.78,119.58,1,18,0
MAT-2024-0129,0,1,3.17,59.17,0.0,0.61,82.46,267,840.7,2,3.09,142.38,2,19,0
MAT-2024-0130,0,0,2.54,54.07,31.12,-2.06,63.1,239,406.08,7,15.92,122.44,3,25,0
MAT-2024-0131,1,1,2.29,50.0,23.99,0.62,33.61,243,815.93,8,-23.71,112.04,1,22,1
MAT-2024-0132,1,1,3.28,80.33,0.0,-0.06,85.18,254,393.54,5,30.18,137.67,1,21,0
MAT-2024-0133,2,1,3.11,56.33,14.72,0.3,52.82,240,490.54,11,-5.36,117.93,2,22,0
MAT-2024-0134,1,0,3.18,61.42,11.27,-1.9,73.52,245,435.13,11,-19.1,128.21,4,17,0
MAT-2024-0135,2,1,2.67,56.42,13.49,0.12,73.36,265,517.3,8,25.16,136.74,5,11,0
MAT-2024-0136,0,1,3.26,68.22,28.2,-0.84,21.27,256,481.25,10,13.78,111.91,13,18,0
MAT-2024-0137,1,1,1.52,34.2,9.11,0.31,36.86,245,570.83,7,35.56,114.34,6,18,1
MAT-2024-0138,0,0,2.21,49.33,1.44,-0.68,69.72,265,439.52,11,-26.19,134.69,7,20,1
MAT-2024-0139,0,1,3.0,47.94,8.15,1.27,60.61,243,370.77,13,-11.74,121.84,4,27,0
MAT-2024-0140,0,1,3.03,70.24,6.69,-1.52,49.99,256,478.64,5,21.34,124.4,5,19,0
MAT-2024-0141,0,0,2.42,46.67,0.0,0.29,8.22,250,410.58,7,-9.03,104.89,4,20,1
MAT-2024-0142,0,1,1.35,24.4,18.25,0.16,60.99,233,503.81,9,-12.03,118.8,2,15,1
MAT-2024-0143,2,1,2.16,41.5,25.5,-0.57,52.85,278,573.01,9,23.76,133.54,8,17,0
MAT-2024-0144,0,1,3.1,72.03,12.31,-1.04,83.9,259,874.73,2,-24.08,139.76,5,23,0
MAT-2024-0145,0,1,1.67,40.5,0.12,1.78,56.62,230,537.79,1,-22.28,117.45,4,17,1
MAT-2024-0146,0,1,3.2,61.91,16.69,0.48,22.35,232,714.88,2,12.54,104.34,4,15,0
MAT-2024-0147,0,0,1.52,37.44,21.41,1.01,70.07,230,575.03,12,16.78,120.63,5,12,1
MAT-2024-0148,0,2,2.63,51.05,12.87,1.38,64.62,245,623.97,14,2.63,124.05,7,11,0
MAT-2024-0149,0,0,2.85,58.6,8.41,2.22,68.31,270,919.29,5,-17.47,137.32,9,22,0
MAT-2024-0150,1,1,2.76,58.33,17.74,-1.94,57.83,255,548.82,6,-18.99,126.93,6,16,1
MAT-2024-0151,0,1,2.54,46.0,0.0,-0.51,73.41,249,806.35,14,-3.1,129.16,6,19,0
MAT-2024-0152,1,1,3.43,64.29,9.65,0.68,68.83,228,501.07,11,20.78,119.53,4,23,0
MAT-2024-0153,1,0,3.5,74.0,6.0,-0.59,59.8,245,498.37,10,-17.04,122.92,1,19,0
MAT-2024-0154,1,1,2.06,36.7,9.77,-1.06,35.43,256,420.11,3,-13.21,118.97,3,15,1
MAT-2024-0155,1,0,2.24,45.06,24.53,-0.93,61.66,258,594.17,3,24.45,130.26,2,30,1
MAT-2024-0156,0,0,3.19,65.67,1.21,-0.55,83.98,234,790.01,7,17.26,128.79,11,21,0
MAT-2024-0157,1,1,3.18,53.58,15.73,0.71,54.88,235,461.35,9,-0.17,117.15,3,32,1
MAT-2024-0158,1,1,2.65,47.06,13.86,-0.74,66.35,214,520.04,5,36.23,114.14,4,22,1
MAT-2024-0159,0,2,1.53,21.78,13.8,0.87,92.64,247,401.38,10,25.18,136.86,6,21,1
MAT-2024-0160,0,1,2.85,57.1,16.54,1.53,99.14,242,429.97,2,10.17,139.06,8,12,1
MAT-2024-0161,0,1,3.07,58.79,16.37,2.18,58.62,258,878.81,14,-45.04,126.85,3,25,0
MAT-2024-0162,1,2,2.31,45.11,6.36,0.22,77.12,249,497.41,2,-49.39,133.05,4,19,1
MAT-2024-0163,0,0,3.05,46.73,23.52,-0.32,74.47,255,629.08,11,16.84,132.59,5,24,1
MAT-2024-0164,0,1,3.36,74.29,10.98,-1.29,93.49,246,796.33,10,6.73,136.8,6,11,0
MAT-2024-0165,2,1,3.51,73.03,14.12,0.19,40.47,246,688.15,10,-23.41,115.59,6,15,0
MAT-2024-0166,0,1,3.46,67.55,15.43,-1.23,41.03,247,772.15,11,-2.72,116.01,7,18,0
MAT-2024-0167,0,2,2.96,68.89,5.62,0.24,35.05,285,613.45,9,-7.14,129.22,4,17,0
MAT-2024-0168,1,0,4.0,83.14,12.9,-0.36,78.68,269,597.03,9,9.15,140.27,5,26,0
MAT-2024-0169,0,1,3.02,66.22,3.9,-0.48,49.46,240,771.77,14,-27.65,115.98,4,12,0
MAT-2024-0170,1,0,3.09,50.17,6.05,0.2,79.49,223,343.17,14,9.06,121.2,3,24,0
MAT-2024-0171,1,2,3.7,60.67,24.68,0.11,55.55,238,398.4,5,-28.16,119.42,6,29,0
MAT-2024-0172,0,1,2.82,60.83,9.3,0.83,72.72,272,438.3,9,-0.13,139.09,7,24,1
MAT-2024-0173,0,1,3.62,72.73,17.05,2.2,69.05,230,744.27,6,5.19,121.42,4,14,0
MAT-2024-0174,0,1,3.2,63.4,4.02,-0.27,63.41,251,771.24,7,38.28,127.36,5,21,0
MAT-2024-0175,0,2,1.76,32.89,19.82,-1.06,76.63,260,580.67,8,-16.31,136.05,7,19,1
MAT-2024-0176,1,0,2.03,41.92,10.69,2.5,35.93,251,463.93,10,7.78,115.77,2,17,1
MAT-2024-0177,0,1,4.0,80.15,7.81,1.2,22.82,256,606.73,10,-11.29,112.53,4,20,0
MAT-2024-0178,0,2,1.66,19.33,0.0,-0.18,50.93,236,778.52,11,13.82,115.57,6,17,1
MAT-2024-0179,2,0,2.7,60.78,7.41,-0.13,55.22,248,583.74,12,-10.95,121.89,11,17,0
MAT-2024-0180,0,1,3.1,65.52,13.86,-1.2,17.52,251,719.76,10,7.84,108.41,3,11,1
MAT-2024-0181,1,0,2.87,61.06,16.83,-0.87,41.51,256,438.09,3,10.02,121.4,5,22,1
MAT-2024-0182,2,0,2.77,51.92,4.46,0.68,51.18,277,538.64,8,9.49,132.67,5,19,1
MAT-2024-0183,2,0,2.13,30.92,9.55,-0.21,61.65,248,707.7,1,-17.83,126.66,4,20,1
MAT-2024-0184,0,1,3.98,75.0,0.0,0.16,84.13,244,472.53,12,-11.86,131.85,2,19,0
MAT-2024-0185,0,2,3.56,75.22,15.98,-0.18,67.44,247,523.82,1,18.39,128.58,5,20,0
MAT-2024-0186,0,0,2.49,47.0,12.83,-1.17,76.6,254,471.09,9,4.55,133.44,4,18,1
MAT-2024-0187,1,1,3.26,55.67,0.08,-0.2,22.25,230,353.52,6,3.11,102.7,2,28,0
MAT-2024-0188,1,1,3.52,66.7,11.22,1.29,46.1,255,595.37,5,-7.24,122.44,4,31,0
MAT-2024-0189,1,1,2.86,60.33,0.16,-0.97,73.81,231,470.87,7,-18.26,123.52,4,21,0
MAT-2024-0190,1,0,2.34,41.94,21.7,0.37,69.38,260,432.47,14,6.77,131.95,6,13,1
MAT-2024-0191,0,1,2.68,51.93,12.6,0.48,28.82,255,422.6,2,17.57,116.13,2,22,1
MAT-2024-0192,0,2,2.24,44.71,10.11,0.25,70.68,223,641.87,10,-27.32,118.47,8,14,1
MAT-2024-0193,0,1,2.83,56.0,25.68,-0.0,31.95,231,426.14,13,11.8,105.58,4,16,1
MAT-2024-0194,2,1,1.88,37.29,7.57,-0.8,65.52,225,481.53,10,6.27,117.21,3,24,1
MAT-2024-0195,0,2,3.52,75.5,2.1,0.05,70.16,249,787.81,2,28.86,130.26,10,24,0
MAT-2024-0196,0,0,3.31,60.19,9.5,0.95,71.64,240,813.75,13,17.62,125.06,3,26,0
MAT-2024-0197,1,1,2.78,55.71,18.19,-0.38,53.34,240,496.64,5,14.87,119.34,4,22,1
MAT-2024-0198,0,2,1.36,36.89,23.05,0.52,44.26,235,820.44,6,42.9,113.5,3,26,1
MAT-2024-0199,0,0,4.0,83.17,6.0,-1.87,77.99,253,745.37,13,-7.56,132.8,4,14,0
MAT-2024-0200,1,1,2.63,54.24,10.69,0.64,74.14,250,575.49,11,3.64,130.46,3,19,1
MAT-2024-0201,0,0,1.58,29.04,16.13,-1.01,58.65,236,590.14,3,-27.31,120.26,4,18,1
MAT-2024-0202,0,1,3.06,81.67,0.0,1.12,44.53,268,928.04,11,17.32,125.81,13,18,0
MAT-2024-0203,0,0,2.6,51.5,12.75,0.24,24.6,249,531.09,1,7.57,112.24,5,20,1
MAT-2024-0204,0,0,2.19,29.83,29.7,1.78,31.29,234,484.98,8,7.41,107.52,8,24,1
MAT-2024-0205,0,2,2.3,49.06,3.24,-1.36,69.79,276,520.37,14,55.35,138.52,2,26,0
MAT-2024-0206,0,0,2.62,54.73,19.7,-1.8,88.75,272,883.11,1,7.15,147.1,2,23,0
MAT-2024-0207,0,0,4.0,75.0,0.0,-0.75,58.69,239,424.13,2,-10.49,121.68,8,24,0
MAT-2024-0208,0,0,1.66,33.11,11.0,2.32,52.3,247,818.39,7,3.04,121.32,10,29,1
MAT-2024-0209,0,1,2.62,63.33,5.76,1.25,45.95,256,591.78,6,6.28,122.58,4,17,0
MAT-2024-0210,1,0,2.06,37.09,13.39,-0.89,32.71,225,621.25,2,-6.65,105.68,10,18,1
MAT-2024-0211,0,0,2.03,42.67,9.78,0.46,95.02,258,770.7,11,6.55,142.01,1,24,1
MAT-2024-0212,0,0,1.35,19.89,5.88,-1.27,74.95,245,642.93,4,-30.18,130.18,6,26,1
MAT-2024-0213,0,1,2.67,53.55,16.98,0.91,68.84,249,781.16,4,-4.21,129.34,3,13,0
MAT-2024-0214,0,1,3.08,65.48,29.91,0.42,53.83,246,696.56,2,53.6,122.53,5,13,0
MAT-2024-0215,0,1,2.18,26.67,6.08,1.89,26.78,266,822.45,5,40.13,119.11,4,18,1
MAT-2024-0216,0,0,1.86,48.58,29.5,0.7,41.47,244,631.22,4,13.71,116.39,5,21,1
MAT-2024-0217,0,0,3.19,64.33,9.66,-0.74,94.54,229,414.02,14,-4.74,129.62,6,26,0
MAT-2024-0218,0,0,1.67,32.67,15.45,0.98,45.86,256,761.53,10,-12.43,121.74,5,25,1
MAT-2024-0219,2,0,2.95,50.33,0.3,-0.35,65.89,247,734.48,13,21.96,125.56,4,21,0
MAT-2024-0220,0,1,1.4,32.17,19.8,-0.36,77.31,231,614.37,12,-4.57,123.92,7,20,1
MAT-2024-0221,0,2,1.75,40.67,0.0,0.74,78.37,258,867.68,13,-37.78,134.95,5,21,1
MAT-2024-0222,1,1,2.1,14.33,0.0,0.18,38.58,269,611.22,3,26.21,125.43,6,20,1
MAT-2024-0223,0,0,1.77,39.67,0.81,-0.85,46.05,234,710.78,12,-9.79,112.62,1,12,1
MAT-2024-0224,2,0,2.76,67.0,11.2,0.14,65.52,263,581.89,4,10.09,133.61,6,17,0
MAT-2024-0225,0,2,1.86,60.67,0.0,0.32,38.56,259,554.55,13,-11.57,119.42,2,19,1
MAT-2024-0226,0,1,2.24,64.11,6.4,0.65,69.23,225,736.89,14,18.11,117.89,9,25,1
MAT-2024-0227,1,1,3.1,57.67,24.85,0.53,86.92,268,632.18,9,-12.14,143.17,7,16,0
MAT-2024-0228,0,1,3.62,73.52,12.27,-0.85,78.21,222,606.9,8,10.57,121.48,6,20,0
MAT-2024-0229,1,1,2.16,42.48,8.38,0.78,44.28,274,927.93,10,-12.06,128.31,6,34,1
MAT-2024-0230,1,0,1.6,24.58,5.5,-1.85,44.0,249,598.75,12,60.07,117.8,6,15,1
MAT-2024-0231,0,1,3.15,62.33,6.66,0.31,64.73,228,566.29,6,24.52,118.89,4,18,0
MAT-2024-0232,0,1,2.14,57.33,6.25,-0.1,50.12,284,866.01,4,3.14,135.85,4,22,1
MAT-2024-0233,0,2,2.47,49.92,38.87,1.56,87.36,266,828.72,10,22.41,142.34,5,16,1
MAT-2024-0234,1,1,1.59,57.33,5.29,0.05,16.88,266,468.73,3,-40.98,115.55,6,19,1
MAT-2024-0235,0,2,2.62,56.03,7.7,1.49,95.22,240,536.57,9,23.37,135.29,6,26,1
MAT-2024-0236,1,2,3.01,60.17,2.85,-1.62,64.64,243,832.96,2,-29.16,125.66,1,12,0
MAT-2024-0237,0,1,2.85,58.71,11.5,-0.56,69.49,256,575.25,1,-12.45,133.0,4,18,1
MAT-2024-0238,2,0,3.4,67.85,25.07,0.6,30.61,251,494.0,7,30.95,114.24,3,22,1
MAT-2024-0239,1,1,2.82,59.33,0.0,-0.53,81.98,239,544.96,2,-55.3,130.99,6,21,0
MAT-2024-0240,0,1,2.55,51.58,20.42,1.86,42.66,218,717.23,6,32.69,106.06,5,21,1
MAT-2024-0241,0,1,1.44,23.1,12.15,0.27,37.19,252,748.05,10,-25.99,116.68,5,16,1
MAT-2024-0242,0,0,2.36,43.44,15.23,0.38,42.15,239,775.0,7,-35.49,114.06,5,18,1
