matric_number,course_code,course_title,ca_score_30
MAT-2024-0018,ENG 101,Engineering Mechanics,24.8
MAT-2024-0019,PHY 101,General Physics I,18.4
MAT-2024-0019,ENG 101,Engineering Mechanics,21.3
MAT-2024-0019,CSC 102,Introduction to Problem Solving,11.0
MAT-2024-0019,PHY 102,Practical Physics I,16.3
MAT-2024-0019,BIO 101,General Biology I,16.5
MAT-2024-0019,CHM 101,General Chemistry I,12.4
MAT-2024-0019,GST 102,Nigerian Peoples and Culture,18.8
MAT-2024-0019,MAT 101,General Mathematics I,19.8
MAT-2024-0019,STA 101,Introductory Statistics,15.6
MAT-2024-0019,CSC 101,Introduction to Computer Science,25.0
MAT-2024-0020,STA 101,Introductory Statistics,19.7
MAT-2024-0020,PHY 101,General Physics I,19.1
MAT-2024-0020,CHM 101,General Chemistry I,22.2
MAT-2024-0020,ENG 101,Engineering Mechanics,19.2
MAT-2024-0020,CSC 101,Introduction to Computer Science,22.0
MAT-2024-0020,BIO 101,General Biology I,15.8
MAT-2024-0020,MAT 101,General Mathematics I,26.1
MAT-2024-0020,MAT 102,General Mathematics II,20.0
MAT-2024-0020,GST 102,Nigerian Peoples and Culture,20.6
MAT-2024-0020,CSC 102,Introduction to Problem Solving,15.8
MAT-2024-0020,CHM 102,Practical Chemistry I,20.8
MAT-2024-0021,CHM 102,Practical Chemistry I,11.8
MAT-2024-0021,CHM 101,General Chemistry I,9.8
MAT-2024-0022,GST 102,Nigerian Peoples and Culture,20.7
MAT-2024-0022,PHY 102,Practical Physics I,27.3
MAT-2024-0022,GST 101,Use of English,19.9
MAT-2024-0022,CSC 101,Introduction to Computer Science,22.4
MAT-2024-0022,STA 101,Introductory Statistics,23.5
MAT-2024-0022,CSC 102,Introduction to Problem Solving,13.2
MAT-2024-0022,CHM 101,General Chemistry I,30.0
MAT-2024-0022,ENG 101,Engineering Mechanics,18.4
MAT-2024-0022,MAT 101,General Mathematics I,22.1
MAT-2024-0022,BIO 101,General Biology I,22.7
MAT-2024-0022,PHY 101,General Physics I,16.9
MAT-2024-0023,PHY 101,General Physics I,23.5
MAT-2024-0024,MAT 102,General Mathematics II,27.3
MAT-2024-0024,CHM 101,General Chemistry I,30.0
MAT-2024-0024,GST 101,Use of English,22.4
MAT-2024-0024,MAT 101,General Mathematics I,25.0
MAT-2024-0024,CHM 102,Practical Chemistry I,27.2
MAT-2024-0024,PHY 101,General Physics I,14.7
MAT-2024-0025,CSC 102,Introduction to Problem Solving,25.2
MAT-2024-0025,BIO 101,General Biology I,20.8
MAT-2024-0026,MAT 102,General Mathematics II,9.2
MAT-2024-0026,GST 102,Nigerian Peoples and Culture,5.2
MAT-2024-0027,CSC 101,Introduction to Computer Science,29.4
MAT-2024-0027,CHM 102,Practical Chemistry I,21.4
MAT-2024-0027,BIO 101,General Biology I,16.9
MAT-2024-0028,CSC 101,Introduction to Computer Science,3.1
MAT-2024-0028,CHM 101,General Chemistry I,9.6
MAT-2024-0028,GST 102,Nigerian Peoples and Culture,3.3
MAT-2024-0028,PHY 102,Practical Physics I,3.4
MAT-2024-0028,ENG 101,Engineering Mechanics,7.8
MAT-2024-0028,GST 101,Use of English,6.1
MAT-2024-0028,CSC 102,Introduction to Problem Solving,15.1
MAT-2024-0028,STA 101,Introductory Statistics,0.0
MAT-2024-0028,PHY 101,General Physics I,6.4
MAT-2024-0029,ENG 101,Engineering Mechanics,6.5
MAT-2024-0029,CHM 102,Practical Chemistry I,9.1
MAT-2024-0029,CSC 102,Introduction to Problem Solving,7.7
MAT-2024-0029,STA 101,Introductory Statistics,19.2
MAT-2024-0029,BIO 101,General Biology I,15.9
MAT-2024-0030,BIO 101,General Biology I,8.6
MAT-2024-0030,PHY 101,General Physics I,22.3
MAT-2024-0030,GST 101,Use of English,10.3
MAT-2024-0030,CHM 102,Practical Chemistry I,12.0
MAT-2024-0030,CSC 102,Introduction to Problem Solving,20.5
MAT-2024-0030,STA 101,Introductory Statistics,8.2
MAT-2024-0030,MAT 101,General Mathematics I,18.3
MAT-2024-0030,CHM 101,General Chemistry I,9.6
MAT-2024-0030,MAT 102,General Mathematics II,20.2
MAT-2024-0031,PHY 102,Practical Physics I,16.2
MAT-2024-0031,GST 101,Use of English,21.7
MAT-2024-0031,MAT 101,General Mathematics I,15.7
MAT-2024-0031,PHY 101,General Physics I,13.5
MAT-2024-0032,MAT 101,General Mathematics I,8.6
MAT-2024-0032,GST 101,Use of English,10.5
MAT-2024-0032,PHY 101,General Physics I,8.8
MAT-2024-0032,MAT 102,General Mathematics II,10.3
MAT-2024-0032,STA 101,Introductory Statistics,18.4
MAT-2024-0032,CHM 102,Practical Chemistry I,10.4
MAT-2024-0032,CHM 101,General Chemistry I,24.7
MAT-2024-0032,BIO 101,General Biology I,16.2
MAT-2024-0032,CSC 101,Introduction to Computer Science,15.0
MAT-2024-0032,CSC 102,Introduction to Problem Solving,10.8
MAT-2024-0032,PHY 102,Practical Physics I,17.0
MAT-2024-0033,CSC 101,Introduction to Computer Science,25.5
MAT-2024-0033,CSC 102,Introduction to Problem Solving,20.5
MAT-2024-0033,PHY 102,Practical Physics I,22.8
MAT-2024-0033,CHM 102,Practical Chemistry I,20.9
MAT-2024-0033,BIO 101,General Biology I,21.4
MAT-2024-0033,GST 101,Use of English,17.9
MAT-2024-0033,ENG 101,Engineering Mechanics,17.7
MAT-2024-0033,GST 102,Nigerian Peoples and Culture,18.8
MAT-2024-0033,STA 101,Introductory Statistics,20.6
MAT-2024-0034,PHY 101,General Physics I,27.6
MAT-2024-0034,MAT 102,General Mathematics II,26.0
MAT-2024-0034,CHM 102,Practical Chemistry I,14.4
MAT-2024-0034,ENG 101,Engineering Mechanics,26.5
MAT-2024-0035,ENG 101,Engineering Mechanics,15.9
MAT-2024-0035,MAT 102,General Mathematics II,23.6
MAT-2024-0035,BIO 101,General Biology I,27.2
MAT-2024-0035,MAT 101,General Mathematics I,16.5
MAT-2024-0035,PHY 101,General Physics I,16.2
MAT-2024-0035,PHY 102,Practical Physics I,23.8
MAT-2024-0036,CSC 102,Introduction to Problem Solving,13.0
MAT-2024-0036,STA 101,Introductory Statistics,22.5
MAT-2024-0036,PHY 101,General Physics I,20.0
MAT-2024-0036,GST 101,Use of English,18.5
MAT-2024-0036,PHY 102,Practical Physics I,16.5
MAT-2024-0036,GST 102,Nigerian Peoples and Culture,17.2
MAT-2024-0036,CHM 101,General Chemistry I,21.5
MAT-2024-0037,CSC 101,Introduction to Computer Science,12.7
MAT-2024-0037,ENG 101,Engineering Mechanics,15.4
MAT-2024-0037,MAT 102,General Mathematics II,15.6
MAT-2024-0037,CHM 101,General Chemistry I,16.9
MAT-2024-0037,BIO 101,General Biology I,22.3
MAT-2024-0037,GST 101,Use of English,13.5
MAT-2024-0037,CSC 102,Introduction to Problem Solving,11.0
MAT-2024-0037,MAT 101,General Mathematics I,8.7
MAT-2024-0038,MAT 102,General Mathematics II,22.4
MAT-2024-0038,GST 102,Nigerian Peoples and Culture,18.6
MAT-2024-0038,PHY 101,General Physics I,21.9
MAT-2024-0038,MAT 101,General Mathematics I,20.5
MAT-2024-0038,CSC 102,Introduction to Problem Solving,21.0
MAT-2024-0038,PHY 102,Practical Physics I,23.3
MAT-2024-0038,BIO 101,General Biology I,19.0
MAT-2024-0038,CHM 102,Practical Chemistry I,23.7
MAT-2024-0039,ENG 101,Engineering Mechanics,22.7
MAT-2024-0039,BIO 101,General Biology I,22.1
MAT-2024-0039,CSC 102,Introduction to Problem Solving,17.5
MAT-2024-0040,ENG 101,Engineering Mechanics,26.8
MAT-2024-0040,MAT 101,General Mathematics I,20.7
MAT-2024-0040,CSC 101,Introduction to Computer Science,17.0
MAT-2024-0040,MAT 102,General Mathematics II,21.1
MAT-2024-0041,ENG 101,Engineering Mechanics,17.9
MAT-2024-0042,MAT 102,General Mathematics II,16.7
MAT-2024-0042,BIO 101,General Biology I,22.6
MAT-2024-0042,CHM 101,General Chemistry I,23.0
MAT-2024-0042,ENG 101,Engineering Mechanics,21.0
MAT-2024-0042,GST 102,Nigerian Peoples and Culture,18.8
MAT-2024-0043,CSC 102,Introduction to Problem Solving,15.5
MAT-2024-0043,BIO 101,General Biology I,20.8
MAT-2024-0043,CSC 101,Introduction to Computer Science,20.0
MAT-2024-0043,GST 101,Use of English,26.2
MAT-2024-0043,CHM 101,General Chemistry I,25.0
MAT-2024-0043,PHY 102,Practical Physics I,13.3
MAT-2024-0043,MAT 101,General Mathematics I,22.9
MAT-2024-0043,GST 102,Nigerian Peoples and Culture,24.5
MAT-2024-0043,STA 101,Introductory Statistics,21.7
MAT-2024-0043,ENG 101,Engineering Mechanics,18.1
MAT-2024-0043,CHM 102,Practical Chemistry I,29.1
MAT-2024-0044,MAT 101,General Mathematics I,25.7
MAT-2024-0044,MAT 102,General Mathematics II,24.2
MAT-2024-0044,PHY 102,Practical Physics I,24.5
MAT-2024-0044,BIO 101,General Biology I,26.5
MAT-2024-0044,GST 102,Nigerian Peoples and Culture,19.9
MAT-2024-0044,CSC 101,Introduction to Computer Science,23.0
MAT-2024-0045,GST 102,Nigerian Peoples and Culture,20.4
MAT-2024-0046,CSC 101,Introduction to Computer Science,10.4
MAT-2024-0046,PHY 101,General Physics I,20.2
MAT-2024-0047,PHY 101,General Physics I,23.7
MAT-2024-0047,CHM 102,Practical Chemistry I,24.2
MAT-2024-0047,GST 101,Use of English,19.2
MAT-2024-0047,ENG 101,Engineering Mechanics,26.1
MAT-2024-0047,MAT 102,General Mathematics II,29.0
MAT-2024-0047,CSC 102,Introduction to Problem Solving,18.5
MAT-2024-0047,CHM 101,General Chemistry I,18.0
MAT-2024-0047,PHY 102,Practical Physics I,20.4
MAT-2024-0047,MAT 101,General Mathematics I,17.9
MAT-2024-0047,STA 101,Introductory Statistics,17.3
MAT-2024-0048,CHM 102,Practical Chemistry I,18.9
MAT-2024-0048,PHY 102,Practical Physics I,29.0
MAT-2024-0048,CSC 102,Introduction to Problem Solving,20.6
MAT-2024-0048,GST 102,Nigerian Peoples and Culture,22.2
MAT-2024-0048,STA 101,Introductory Statistics,24.8
MAT-2024-0048,CHM 101,General Chemistry I,23.3
MAT-2024-0048,PHY 101,General Physics I,22.0
MAT-2024-0049,CSC 102,Introduction to Problem Solving,16.8
MAT-2024-0049,STA 101,Introductory Statistics,7.1
MAT-2024-0049,GST 101,Use of English,14.4
MAT-2024-0049,CHM 101,General Chemistry I,14.8
MAT-2024-0049,ENG 101,Engineering Mechanics,10.8
MAT-2024-0049,CSC 101,Introduction to Computer Science,17.5
MAT-2024-0049,MAT 102,General Mathematics II,11.4
MAT-2024-0049,GST 102,Nigerian Peoples and Culture,12.5
MAT-2024-0049,BIO 101,General Biology I,11.3
MAT-2024-0049,CHM 102,Practical Chemistry I,12.1
MAT-2024-0049,PHY 101,General Physics I,7.6
MAT-2024-0050,MAT 101,General Mathematics I,24.6
MAT-2024-0050,BIO 101,General Biology I,19.4
MAT-2024-0051,PHY 102,Practical Physics I,14.4
MAT-2024-0051,PHY 101,General Physics I,16.7
MAT-2024-0051,CSC 102,Introduction to Problem Solving,24.4
MAT-2024-0051,GST 102,Nigerian Peoples and Culture,16.7
MAT-2024-0051,GST 101,Use of English,19.7
MAT-2024-0051,CHM 101,General Chemistry I,22.8
MAT-2024-0051,CHM 102,Practical Chemistry I,16.8
MAT-2024-0051,CSC 101,Introduction to Computer Science,21.1
MAT-2024-0051,MAT 101,General Mathematics I,15.3
MAT-2024-0051,ENG 101,Engineering Mechanics,18.2
MAT-2024-0052,CHM 101,General Chemistry I,26.3
MAT-2024-0052,CSC 101,Introduction to Computer Science,26.7
MAT-2024-0052,BIO 101,General Biology I,23.0
MAT-2024-0052,GST 102,Nigerian Peoples and Culture,19.5
MAT-2024-0052,MAT 102,General Mathematics II,22.2
MAT-2024-0052,MAT 101,General Mathematics I,21.7
MAT-2024-0053,GST 102,Nigerian Peoples and Culture,15.9
MAT-2024-0053,CHM 101,General Chemistry I,11.6
MAT-2024-0053,CHM 102,Practical Chemistry I,20.3
MAT-2024-0053,PHY 101,General Physics I,13.7
MAT-2024-0053,CSC 101,Introduction to Computer Science,15.2
MAT-2024-0053,CSC 102,Introduction to Problem Solving,15.7
MAT-2024-0053,MAT 101,General Mathematics I,17.3
MAT-2024-0053,ENG 101,Engineering Mechanics,15.0
MAT-2024-0053,BIO 101,General Biology I,18.2
MAT-2024-0053,PHY 102,Practical Physics I,15.6
MAT-2024-0053,GST 101,Use of English,20.9
MAT-2024-0054,PHY 102,Practical Physics I,5.0
MAT-2024-0054,GST 101,Use of English,4.0
MAT-2024-0054,STA 101,Introductory Statistics,10.2
MAT-2024-0054,CSC 102,Introduction to Problem Solving,4.4
MAT-2024-0054,CHM 101,General Chemistry I,8.1
MAT-2024-0055,BIO 101,General Biology I,20.2
MAT-2024-0055,CHM 101,General Chemistry I,17.1
MAT-2024-0055,MAT 101,General Mathematics I,16.4
MAT-2024-0055,PHY 101,General Physics I,20.5
MAT-2024-0055,ENG 101,Engineering Mechanics,15.6
MAT-2024-0055,CSC 102,Introduction to Problem Solving,17.9
MAT-2024-0055,CHM 102,Practical Chemistry I,18.1
MAT-2024-0055,GST 102,Nigerian Peoples and Culture,14.1
MAT-2024-0055,CSC 101,Introduction to Computer Science,20.8
MAT-2024-0056,CHM 102,Practical Chemistry I,16.0
MAT-2024-0056,CHM 101,General Chemistry I,14.7
MAT-2024-0056,CSC 101,Introduction to Computer Science,17.5
MAT-2024-0057,GST 102,Nigerian Peoples and Culture,15.5
MAT-2024-0057,CSC 102,Introduction to Problem Solving,18.1
MAT-2024-0057,ENG 101,Engineering Mechanics,15.1
MAT-2024-0057,MAT 102,General Mathematics II,11.9
MAT-2024-0057,MAT 101,General Mathematics I,21.7
MAT-2024-0057,PHY 101,General Physics I,20.1
MAT-2024-0057,PHY 102,Practical Physics I,27.2
MAT-2024-0057,STA 101,Introductory Statistics,13.9
MAT-2024-0058,GST 102,Nigerian Peoples and Culture,15.7
MAT-2024-0058,MAT 101,General Mathematics I,7.2
MAT-2024-0058,STA 101,Introductory Statistics,5.4
MAT-2024-0059,GST 102,Nigerian Peoples and Culture,22.3
MAT-2024-0059,CSC 101,Introduction to Computer Science,24.4
MAT-2024-0059,ENG 101,Engineering Mechanics,18.6
MAT-2024-0059,CSC 102,Introduction to Problem Solving,21.9
MAT-2024-0059,MAT 101,General Mathematics I,16.4
MAT-2024-0059,CHM 101,General Chemistry I,21.4
MAT-2024-0059,PHY 102,Practical Physics I,21.5
MAT-2024-0059,MAT 102,General Mathematics II,28.1
MAT-2024-0059,CHM 102,Practical Chemistry I,20.3
MAT-2024-0059,PHY 101,General Physics I,21.5
MAT-2024-0060,GST 101,Use of English,9.7
MAT-2024-0060,CHM 102,Practical Chemistry I,17.0
MAT-2024-0060,PHY 101,General Physics I,13.0
MAT-2024-0060,STA 101,Introductory Statistics,10.1
MAT-2024-0060,GST 102,Nigerian Peoples and Culture,11.7
MAT-2024-0060,ENG 101,Engineering Mechanics,9.2
MAT-2024-0060,CHM 101,General Chemistry I,12.9
MAT-2024-0060,PHY 102,Practical Physics I,16.5
MAT-2024-0060,CSC 102,Introduction to Problem Solving,13.1
MAT-2024-0060,BIO 101,General Biology I,22.7
MAT-2024-0060,MAT 101,General Mathematics I,14.9
MAT-2024-0061,ENG 101,Engineering Mechanics,24.3
MAT-2024-0061,MAT 101,General Mathematics I,20.3
MAT-2024-0061,CSC 101,Introduction to Computer Science,14.4
MAT-2024-0062,MAT 102,General Mathematics II,23.4
MAT-2024-0062,ENG 101,Engineering Mechanics,24.5
MAT-2024-0062,CHM 102,Practical Chemistry I,23.7
MAT-2024-0062,GST 101,Use of English,19.0
MAT-2024-0062,CHM 101,General Chemistry I,19.9
MAT-2024-0062,CSC 101,Introduction to Computer Science,23.7
MAT-2024-0063,ENG 101,Engineering Mechanics,16.8
MAT-2024-0063,MAT 101,General Mathematics I,9.9
MAT-2024-0064,GST 101,Use of English,22.4
MAT-2024-0064,MAT 102,General Mathematics II,13.5
MAT-2024-0064,BIO 101,General Biology I,15.9
MAT-2024-0064,STA 101,Introductory Statistics,13.6
MAT-2024-0064,CHM 101,General Chemistry I,20.3
MAT-2024-0064,CSC 102,Introduction to Problem Solving,14.8
MAT-2024-0064,PHY 101,General Physics I,16.5
MAT-2024-0064,MAT 101,General Mathematics I,19.6
MAT-2024-0065,GST 101,Use of English,17.7
MAT-2024-0065,ENG 101,Engineering Mechanics,11.6
MAT-2024-0065,STA 101,Introductory Statistics,9.6
MAT-2024-0065,CHM 101,General Chemistry I,17.3
MAT-2024-0065,PHY 101,General Physics I,21.1
MAT-2024-0065,PHY 102,Practical Physics I,21.8
MAT-2024-0065,CSC 101,Introduction to Computer Science,18.5
MAT-2024-0065,CHM 102,Practical Chemistry I,21.0
MAT-2024-0065,BIO 101,General Biology I,19.4
MAT-2024-0065,MAT 102,General Mathematics II,16.5
MAT-2024-0065,CSC 102,Introduction to Problem Solving,20.2
MAT-2024-0066,STA 101,Introductory Statistics,16.6
MAT-2024-0066,MAT 101,General Mathematics I,12.6
MAT-2024-0066,PHY 101,General Physics I,13.9
MAT-2024-0066,CHM 101,General Chemistry I,15.7
MAT-2024-0066,CSC 101,Introduction to Computer Science,7.4
MAT-2024-0066,PHY 102,Practical Physics I,11.6
MAT-2024-0066,CSC 102,Introduction to Problem Solving,16.9
MAT-2024-0066,ENG 101,Engineering Mechanics,8.7
MAT-2024-0066,BIO 101,General Biology I,14.9
MAT-2024-0067,STA 101,Introductory Statistics,13.5
MAT-2024-0067,CSC 102,Introduction to Problem Solving,13.8
MAT-2024-0067,MAT 102,General Mathematics II,13.8
MAT-2024-0067,ENG 101,Engineering Mechanics,18.8
MAT-2024-0067,GST 102,Nigerian Peoples and Culture,11.0
MAT-2024-0067,PHY 101,General Physics I,18.4
MAT-2024-0067,GST 101,Use of English,13.1
MAT-2024-0068,GST 101,Use of English,19.7
MAT-2024-0068,CHM 101,General Chemistry I,23.6
MAT-2024-0068,MAT 101,General Mathematics I,27.8
MAT-2024-0068,ENG 101,Engineering Mechanics,25.7
MAT-2024-0068,CHM 102,Practical Chemistry I,28.9
MAT-2024-0068,MAT 102,General Mathematics II,21.4
MAT-2024-0068,CSC 101,Introduction to Computer Science,16.3
MAT-2024-0068,BIO 101,General Biology I,24.4
MAT-2024-0068,GST 102,Nigerian Peoples and Culture,25.1
MAT-2024-0068,PHY 102,Practical Physics I,29.1
MAT-2024-0069,STA 101,Introductory Statistics,17.8
MAT-2024-0069,CHM 102,Practical Chemistry I,13.2
MAT-2024-0069,PHY 101,General Physics I,14.4
MAT-2024-0069,CHM 101,General Chemistry I,14.7
MAT-2024-0069,GST 102,Nigerian Peoples and Culture,10.7
MAT-2024-0069,PHY 102,Practical Physics I,14.8
MAT-2024-0069,MAT 102,General Mathematics II,10.1
MAT-2024-0069,GST 101,Use of English,11.2
MAT-2024-0069,CSC 101,Introduction to Computer Science,15.4
MAT-2024-0069,ENG 101,Engineering Mechanics,14.4
MAT-2024-0070,GST 102,Nigerian Peoples and Culture,19.7
MAT-2024-0070,CSC 101,Introduction to Computer Science,21.7
MAT-2024-0070,GST 101,Use of English,10.6
MAT-2024-0070,ENG 101,Engineering Mechanics,21.7
MAT-2024-0070,PHY 102,Practical Physics I,16.3
MAT-2024-0071,CSC 102,Introduction to Problem Solving,18.4
MAT-2024-0071,CSC 101,Introduction to Computer Science,10.5
MAT-2024-0071,PHY 102,Practical Physics I,11.8
MAT-2024-0071,CHM 102,Practical Chemistry I,13.8
MAT-2024-0071,CHM 101,General Chemistry I,13.7
MAT-2024-0071,ENG 101,Engineering Mechanics,15.6
MAT-2024-0071,GST 102,Nigerian Peoples and Culture,11.1
MAT-2024-0071,MAT 101,General Mathematics I,8.0
MAT-2024-0071,MAT 102,General Mathematics II,7.3
MAT-2024-0071,BIO 101,General Biology I,10.3
MAT-2024-0071,STA 101,Introductory Statistics,8.8
MAT-2024-0072,MAT 102,General Mathematics II,21.4
MAT-2024-0072,PHY 102,Practical Physics I,27.3
MAT-2024-0072,CSC 102,Introduction to Problem Solving,19.1
MAT-2024-0072,STA 101,Introductory Statistics,18.6
MAT-2024-0072,BIO 101,General Biology I,19.9
MAT-2024-0072,GST 102,Nigerian Peoples and Culture,18.8
MAT-2024-0072,GST 101,Use of English,23.2
MAT-2024-0073,GST 101,Use of English,19.5
MAT-2024-0073,GST 102,Nigerian Peoples and Culture,23.6
MAT-2024-0073,BIO 101,General Biology I,20.1
MAT-2024-0073,CSC 101,Introduction to Computer Science,22.1
MAT-2024-0073,PHY 101,General Physics I,29.7
MAT-2024-0073,CHM 101,General Chemistry I,22.9
MAT-2024-0073,CHM 102,Practical Chemistry I,29.6
MAT-2024-0073,STA 101,Introductory Statistics,28.4
MAT-2024-0073,ENG 101,Engineering Mechanics,22.5
MAT-2024-0073,PHY 102,Practical Physics I,22.0
